Timestamp,UE ID,Status,Cell ID,Downlink bitrate,Uplink bitrate,PUCCH SNR,Downlink MCS,Uplink MCS
2022-04-07 15:44:50,95514,Active,1,21.579,7.286,28.721290588378906,27,17
2022-04-07 15:45:00,95514,Active,1,2.83,0.0,29.24934196472168,27,nan
2022-04-07 15:45:10,95514,Active,1,8.066,1.7,29.254854202270504,27,16
2022-04-07 15:45:20,95514,Active,1,7.513,2.877,28.920669555664062,27,11.5
2022-04-07 15:45:30,95514,Active,1,2.375,0.0,29.065515518188477,27,nan
2022-04-07 15:45:40,95514,Active,1,2.28,0.0,28.94189453125,27,nan
2022-04-07 15:45:50,95514,Active,1,21.875,9.247,29.155967712402344,27,15.4
2022-04-07 15:46:00,95514,Active,1,8.22,3.422,28.568449020385742,27,12.3
2022-04-07 15:46:10,95514,Active,1,7.838,1.141,28.870197296142578,27,13
2022-04-07 15:46:20,95514,Active,1,7.555,2.294,29.02692222595215,27,15.5
2022-04-07 15:46:31,95514,Active,1,26.888,0.0,29.120691299438477,27,nan
2022-04-07 15:46:41,95514,Active,1,16.268,0.0,29.059816360473633,27,nan
2022-04-07 15:46:51,95514,Active,1,11.388,0.0,35.318729400634766,27,nan
2022-04-07 15:47:01,95514,Active,1,9.398,0.0,29.021259307861328,27,nan
2022-04-07 15:47:11,95514,Active,1,7.838,0.0,29.51386642456055,27,nan
2022-04-07 15:47:21,95514,Active,1,34.326,12.0,29.0328426361084,27,13.7
2022-04-07 15:47:31,95514,Active,1,5.902,0.0,28.614225387573242,27,nan
2022-04-07 15:47:41,95514,Active,1,56.418,20.376,28.41330337524414,27,14.8
2022-04-07 15:47:51,95514,Active,1,18.841,8.155,28.82707977294922,27,11
2022-04-07 15:48:01,95514,Active,1,16.725,10.643,28.877975463867188,27,13.8
2022-04-07 15:48:11,95514,Active,1,3.73,0.0,29.264057159423825,27,nan
2022-04-07 15:48:21,95514,Active,1,14.054,6.083,29.117170333862305,27,14.3
2022-04-07 15:48:31,95514,Active,1,3.205,0.0,28.81123924255371,27,nan
2022-04-07 15:48:41,95514,Active,1,3.5,0.0,30.57419204711914,27,nan
2022-04-07 15:48:51,95514,Active,1,14.426,4.47,28.785137176513672,27,9.3
2022-04-07 15:49:01,95514,Active,1,16.2,8.803,29.257280349731445,27,15.4
2022-04-07 15:49:11,95514,Active,1,5.054,0.0,28.82193946838379,27,nan
2022-04-07 15:49:21,95514,Active,1,16.567,6.621,28.74022674560547,27,14.8
2022-04-07 15:49:31,95514,Active,1,4.425,0.0,28.458433151245117,27,nan
2022-04-07 15:49:41,95514,Active,1,27.606,10.257,28.28537178039551,27,14.5
